year,campaign,lobby
2011,465910.45,6897681.64
2012,3461669.46,7774907.45
2013,312147.35,8356874.88
2014,2050670.7,7770478.86
2015,1601741.11,11208087.81
2016,7733985.06,10071798.42
2017,47107.79,9295729.46
2018,185258.08,8314163.6
