Registrant Name,2011,2012,2013,2014,2015,2016,2017,2018,Total 2015-2018,Total
KSE Partners,566642.81,974709.1500000001,1004830.13,858700.72,1258085.3199999998,1029667.6300000001,217088.02,0.0,2504840.97,5909723.78
"MMR, LLC",0.0,0.0,0.0,502574.0,1208670.8800000001,1207343.9400000002,1349934.1300000001,1105809.59,4871758.54,5374332.54
Necrason Group,0.0,0.0,0.0,479066.98,1265356.83,1017704.64,1129753.31,851649.72,4264464.5,4743531.48
Downs Rachlan Martin,209112.0,584802.0,418878.0,323404.0,420830.0,771168.0,780628.0,648068.0,2620694.0,4156890.0
"Morris & DeMag, Inc.",241889.14,569027.1900000001,497613.04,476843.95999999996,563060.24,497288.20000000007,368204.9600000001,353951.9700000001,1782505.37,3567878.7000000007
Sirotkin & Necrason,392984.0,902954.0,963613.0,402011.0,0.0,0.0,0.0,0.0,0.0,2661562.0
Primmer Piper Eggleston & Cramer PC,203629.3,232656.81,260113.40000000002,279881.56,317965.26,367940.67,290067.0,220149.0,1196121.93,2172403.0
William Shouldice & Associates LLC,201150.0,237050.0,171150.0,144450.0,196450.0,257276.0,210150.0,226500.0,890376.0,1644176.0
MacLean Meehan & Rice LLC,612450.6,423476.79000000004,390789.05,164395.28,0.0,0.0,0.0,0.0,0.0,1591111.72
"Leonine Public Affairs, LLP",0.0,0.0,0.0,0.0,0.0,0.0,631311.9700000001,785114.01,1416425.98,1416425.98
Ellis Mills Public Affairs,0.0,0.0,0.0,32000.0,323553.5,250000.0,258376.26,192483.44,1024413.2,1056413.2
Action Circles,0.0,0.0,0.0,0.0,148222.4,183874.5,197375.0,150125.0,679596.9,679596.9
Zatz & Renfrew Consulting,71919.0,94750.0,111188.0,70750.0,83750.0,77000.0,65250.0,60500.0,286500.0,635107.0
Otis & Kennedy,0.0,143109.0,127440.0,89075.0,60750.0,74312.5,57650.0,43900.0,236612.5,596236.5
"Mickenberg, Dunn, Lachs & Smith",50497.5,68831.5,95804.25,96046.0,59465.0,47500.0,75333.3,72666.66,254964.96,566144.21
"JB Kennedy Associates, LLC",97013.0,132788.0,129117.0,112837.0,40916.0,0.0,0.0,0.0,40916.0,512671.0
John D. Shullenberger,429439.03,57968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487407.03
Steve Mcleod,27557.5,31196.0,67675.02,81525.0,76000.0,96352.5,6000.0,0.0,178352.5,386306.02
"Morris L. Silver, Esq.",311170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311170.0
Capital Connections LLC,89687.48,58687.49,31124.99,46624.99,22650.0,13500.0,16750.0,17000.0,69900.0,296024.94999999995
Miller & Smith,119782.48000000001,29717.5,99540.0,0.0,0.0,0.0,0.0,0.0,0.0,249039.98
FJS Consulting,0.0,0.0,0.0,0.0,0.0,0.0,114300.0,108400.0,222700.0,222700.0
Dewey Square Group,40000.0,90000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,170000.0
"Orrick, Herrington & Sutcliffe LLP",0.0,0.0,0.0,16200.0,0.0,0.0,30000.0,54000.0,84000.0,100200.0
Serlin Haley LLP,0.0,3300.0,0.0,30300.0,32950.0,23700.0,3000.0,1300.0,60950.0,94550.0
"Otis & Brooks, PC",90590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90590.0
Diamond & Robinson PC,20470.0,22598.81,0.0,5120.0,0.0,37500.0,0.0,0.0,37500.0,85688.81
Keller & Fuller,84772.75,235.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85008.45
Cleveland Vitzthum Consulting,0.0,0.0,0.0,19000.0,36000.0,10000.0,0.0,0.0,46000.0,65000.0
LMD Capitol Strategies LLC,0.0,0.0,0.0,0.0,26110.0,18554.0,17325.0,3000.0,64989.0,64989.0
MainStreet Advocates,0.0,0.0,44300.0,14400.0,5400.0,0.0,0.0,0.0,5400.0,64100.0
Dutko Worldwide,54850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54850.0
Dunkiel Saunders Elliott Raubvogel & Hand PLLC,2140.99,0.0,0.0,0.0,9679.5,15796.099999999999,10211.42,225.0,35912.02,38053.009999999995
"White Burke Real Estate Investment Advisors, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,37403.05,0.0,37403.05,37403.05
Broadreach Public Relations,0.0,0.0,0.0,0.0,15000.0,20000.0,0.0,0.0,35000.0,35000.0
Gravel & Shea PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33124.26,33124.26,33124.26
Pyle & Associates,28435.0,0.0,0.0,0.0,725.0,0.0,0.0,0.0,725.0,29160.0
"Kimbell Sherman Ellis, LLP",27692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27692.0
North Public Affairs,0.0,0.0,0.0,17250.0,0.0,0.0,0.0,0.0,0.0,17250.0
Manatt Phelps & Phillips LLP,0.0,0.0,0.0,0.0,9579.439999999999,7294.849999999999,0.0,0.0,16874.289999999997,16874.289999999997
Sheehan Phinney Capitol Group,0.0,0.0,0.0,3000.0,6000.0,0.0,0.0,0.0,6000.0,9000.0
"Legal Counselors & Advocates, PLC",0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,7000.0,7000.0
Change Corps,0.0,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,6500.0,6500.0
bmgzstrategies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,4800.0,4800.0
360 Consulting LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3937.5,3937.5,3937.5
Johnston Consulting,3330.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3330.33
Rasky Baerlein Strategic Communications,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
"Valsangiacomo, Detora & McQuesten, PC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennehy & Bouley LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.L. Brush Consulting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
